iter	Logloss
0	0.6505500938
1	0.6174238683
2	0.5888633737
3	0.5674089853
4	0.5489192784
5	0.534908683
6	0.5224963196
7	0.5118619508
8	0.5032932337
9	0.4951857574
10	0.4889199232
11	0.4829124063
12	0.4778732422
13	0.4731313899
14	0.4689325879
15	0.465406126
16	0.4619360609
17	0.4586460969
18	0.455489436
19	0.4531357035
20	0.4509241716
21	0.4489403841
22	0.4467652158
23	0.4446801353
24	0.4427633912
25	0.4401573835
26	0.4379169497
27	0.4364301975
28	0.4348612737
29	0.4329010841
30	0.4312114428
31	0.4302897584
32	0.4290540904
33	0.427415315
34	0.4258684221
35	0.4245859944
36	0.4232413521
37	0.4220738198
38	0.4207946282
39	0.4195751811
40	0.4181429828
41	0.4170756637
42	0.4158672825
43	0.4137402555
44	0.4128374451
45	0.4118840871
46	0.4109926751
47	0.4096121412
48	0.4082650052
49	0.4070058523
50	0.4062763246
51	0.4048698016
52	0.4036259365
53	0.4023830573
54	0.4011014704
55	0.4002623359
56	0.3996544315
57	0.3991332715
58	0.3985855332
59	0.3971305879
60	0.3961996807
61	0.3953416373
62	0.3947140591
63	0.3941283039
64	0.3932931433
65	0.3923310519
66	0.3918189818
67	0.3903724432
68	0.3895243454
69	0.3887930779
70	0.3882333256
71	0.3871800123
72	0.3865659851
73	0.3860382956
74	0.3852869582
75	0.3847187677
76	0.3839313847
77	0.3832622027
78	0.3827736735
79	0.3821624355
80	0.3815611333
81	0.3807152444
82	0.3801410697
83	0.3790380042
84	0.3775916311
85	0.3770602074
86	0.3765616201
87	0.3760093128
88	0.3754970486
89	0.3750866853
90	0.374305939
91	0.3738638483
92	0.3729140265
93	0.3725367224
94	0.3722343955
95	0.3720789257
96	0.3717530036
97	0.3713008562
98	0.3712199251
99	0.3705822461
100	0.3701293546
101	0.3697571742
102	0.3691638557
103	0.368846222
104	0.3684937596
105	0.3678083772
106	0.3672150573
107	0.3669374579
108	0.366520413
109	0.3657061562
110	0.3654197608
111	0.3646868763
112	0.3642633443
113	0.363895564
114	0.3632810256
115	0.3624748677
116	0.362239887
117	0.361766195
118	0.3610253777
119	0.3604725285
120	0.3603023287
121	0.3596891874
122	0.3590993044
123	0.3589817428
124	0.357803527
125	0.3575253928
126	0.3568524483
127	0.3561277092
128	0.3560284394
129	0.3554693577
130	0.3552485239
131	0.3549456277
132	0.3545263123
133	0.3540968553
134	0.353559392
135	0.3529865631
136	0.3526293245
137	0.3515312433
138	0.3508936351
139	0.3503104209
140	0.3497657835
141	0.3492522472
142	0.3488580785
143	0.3481000793
144	0.3473394898
145	0.3469244671
146	0.3463409026
147	0.3461780161
148	0.3460458754
149	0.3456275896
150	0.3454164877
151	0.3449246537
152	0.3443076649
153	0.3439657355
154	0.3431343489
155	0.3429100833
156	0.3424579025
157	0.3419101573
158	0.3415171715
159	0.3410515207
160	0.3406216173
161	0.3402839296
162	0.3398770886
163	0.339405103
164	0.3389793629
165	0.338436659
166	0.338114321
167	0.3377793964
168	0.3371487973
169	0.3368408775
170	0.3363203845
171	0.3361086236
172	0.3353829391
173	0.3348328963
174	0.3346330593
175	0.3343181025
176	0.3341140419
177	0.3331763811
178	0.3328014877
179	0.3321957201
180	0.3318320256
181	0.331496009
182	0.3312225516
183	0.3310040163
184	0.3309069807
185	0.3304762196
186	0.3301496222
187	0.3294062176
188	0.3288348142
189	0.3285233116
190	0.3280349422
191	0.3278951467
192	0.3276997045
193	0.3268450223
194	0.3264120064
195	0.3258305778
196	0.3250195475
197	0.3243595435
198	0.3237009508
199	0.3231582007
200	0.3227600012
201	0.3223490473
202	0.3219622722
203	0.3214211474
204	0.3204705109
205	0.3199729694
206	0.3194166219
207	0.3192823527
208	0.3188831732
209	0.3183858414
210	0.3180218176
211	0.3175949971
212	0.3171801012
213	0.3167942562
214	0.3162130852
215	0.3159518339
216	0.3155603444
217	0.3143700524
218	0.3139333296
219	0.3134546769
220	0.3132479205
221	0.3129542903
222	0.312603651
223	0.3122445247
224	0.3117067836
225	0.3112570691
226	0.3108583539
227	0.3107543425
228	0.3105099045
229	0.3099329918
230	0.30936613
231	0.3089543682
232	0.3089474744
233	0.3083758219
234	0.3082932736
235	0.3079789983
236	0.3072944893
237	0.3068642152
238	0.3058606806
239	0.3057067066
240	0.3053985026
241	0.3049809089
242	0.3049070901
243	0.3045425075
244	0.3043142176
245	0.3037011188
246	0.3034946133
247	0.3030485596
248	0.3026688979
249	0.3026117637
250	0.3022130902
251	0.3019534454
252	0.301499168
253	0.3009378493
254	0.3008742989
255	0.300691452
256	0.2999762139
257	0.2992896397
258	0.2989625283
259	0.2988382334
260	0.298411005
261	0.2980426903
262	0.2977533574
263	0.2974087987
264	0.2971372848
265	0.2966160726
266	0.296060886
267	0.2959239684
268	0.2957555625
269	0.2954300519
270	0.2951527193
271	0.2945052304
272	0.294436391
273	0.2941906508
274	0.293998734
275	0.2939393146
276	0.2933017893
277	0.2930019202
278	0.292581562
279	0.2924029928
280	0.2918995498
281	0.2916050976
282	0.2912565936
283	0.2909725552
284	0.2908272964
285	0.2904163575
286	0.2897807738
287	0.2894436692
288	0.2891616109
289	0.2890015854
290	0.2889063816
291	0.2887292391
292	0.2881324317
293	0.2880507684
294	0.2875056716
295	0.2870177086
296	0.2867069217
297	0.2861971067
298	0.2861525853
299	0.2859235978
300	0.2856708625
301	0.2851639482
302	0.2851290152
303	0.2851270921
304	0.2850572104
305	0.2846070794
306	0.2845489328
307	0.2841464886
308	0.2839881384
309	0.2837153962
310	0.2835352044
311	0.2831318499
312	0.282889757
313	0.2824663384
314	0.2823166495
315	0.2819199207
316	0.2814387699
317	0.2813299555
318	0.2810926452
319	0.2810577732
320	0.2809222855
321	0.2808785263
322	0.2807846206
323	0.280505926
324	0.2803313157
325	0.2801550025
326	0.2799962367
327	0.2797969684
328	0.2797286019
329	0.2795537117
330	0.2792944546
331	0.2788890624
332	0.2785823938
333	0.2785180724
334	0.2782540858
335	0.27790419
336	0.2776338057
337	0.2773313083
338	0.2770477494
339	0.2769541446
340	0.2765527117
341	0.2764797562
342	0.2761367745
343	0.2758221753
344	0.2757595307
345	0.2757436529
346	0.2752899958
347	0.2748863218
348	0.2747949718
349	0.2743013639
350	0.2740019694
351	0.2738609886
352	0.2736966015
353	0.2734782227
354	0.2734598118
355	0.2732203696
356	0.2730185923
357	0.2727720164
358	0.2725190087
359	0.2724911726
360	0.2723647659
361	0.2722769704
362	0.2717570065
363	0.2717416298
364	0.2716498261
365	0.2713049372
366	0.2711089795
367	0.270661418
368	0.2706333313
369	0.2703935796
370	0.2697969758
371	0.2694749972
372	0.2691399572
373	0.2689220631
374	0.2685268081
375	0.2681644461
376	0.267944337
377	0.2676173054
378	0.2672863585
379	0.2670804829
380	0.266888247
381	0.266544512
382	0.2664807376
383	0.2663818333
384	0.2661724921
385	0.2655998748
386	0.2655748372
387	0.2655092774
388	0.2653551782
389	0.2653042554
390	0.2651347913
391	0.2646986257
392	0.2642401402
393	0.2639436956
394	0.2633738987
395	0.2630938172
396	0.2624297396
397	0.2622307696
398	0.262218091
399	0.2618723026
400	0.261537293
401	0.2612892519
402	0.2612314204
403	0.2610106487
404	0.2606071688
405	0.2600974753
406	0.259854353
407	0.259836768
408	0.2594026967
409	0.2591950121
410	0.259169751
411	0.2588144193
412	0.2585758851
413	0.2581526024
414	0.2577331974
415	0.2572199254
416	0.2570933132
417	0.2564738737
418	0.2561985782
419	0.25597927
420	0.2557262492
421	0.2556927995
422	0.2554404687
423	0.2550790594
424	0.2549919573
425	0.2546182564
426	0.2543876401
427	0.2541605389
428	0.2539268938
429	0.2538914572
430	0.2536542143
431	0.2534316489
432	0.2532700377
433	0.2529746983
434	0.252611856
435	0.2524778062
436	0.2524581756
437	0.2520153208
438	0.2518915337
439	0.2515573555
440	0.2509861823
441	0.2509152496
442	0.2507680762
443	0.2506053531
